temperature,wind_speed,solar_radiation,price,load,wind_generation,solar_generation
-1.6317895439720997,1.7208923165639294,-0.21811199682465554,-50.13186179574066,-9470.928750089734,12458.015691166604,16.174688139164658
-1.905742668526556,2.659013543336488,-53.74971286260602,-77.78392840158013,-22121.452244615226,18284.86366105709,-3642.9390778278766
-4.944400030970172,2.8873653905711474,-270.67690506089497,-64.13812091982784,-21592.101024268093,21482.44965558262,-13043.608500729095
-6.915151835127073,3.6575019592392595,-270.08771474010695,-58.76776964245566,-15551.43747499818,23368.446005947597,-10165.978710583273
-6.611882344418754,4.472072317493429,-79.94004763876282,-76.09179336508352,-10887.39356532687,23905.50896215198,-1098.5409824812498
-5.051295491669876,4.397998693763544,-0.4267991359364882,-79.35880294537577,-7247.075077644535,21654.841820272413,27.601182208510476
-4.741517537105065,4.267905077894078,-0.6004864982600759,-94.34653801654748,-6927.4612607054805,19422.708034584863,-48.438369185688806
-5.5241986890032715,3.7726040968343,-54.1319633690784,-51.456104622386945,-6022.734755230973,21326.99350447535,-3701.55213515273
-8.596082064630481,2.6853765297012835,-224.12161856515158,-15.675297140634669,-2626.3210348838475,19585.82949900088,-10056.346558053949
-10.311966315076443,2.409987547527111,-207.87308294813957,-8.194945863262475,-127.40748561393411,15010.638349365856,-8214.779267908127
-10.48033836489547,1.5646058612942801,-79.81619723242913,-15.61896958589034,2229.6989240573894,7511.576305570237,-1163.1540398061031
-9.32422386322081,0.753200012718509,-0.8091736373719086,-5.188479166182596,1283.329911739711,1592.6591636906742,-37.011875116342985
-8.925795308489917,0.5344679010132616,2.5235141078262506,-2.623738122704566,951.1843735832808,1128.4673233322083,85.94817540029632
-9.370829976013122,0.5124081299373096,-51.00789689067055,-12.178304728544028,-925.5266209422116,3260.752793222695,-3549.415590566745
-11.220293612870801,0.18604774124438705,-224.7847799599333,-0.2899972467917493,97.57459940492117,-498.8487122517763,-10904.772513467964
-11.677640570836296,0.0296613993175594,-226.26422123094216,7.265354030580426,1786.8631486748345,-5039.8523618867985,-9116.642723322142
-11.274433641163133,-0.21131011540648226,-76.84667884476728,-6.726169692047449,3688.5945583461507,-3970.789405682417,-1028.767495220118
-9.478129014976755,-0.5229035994040063,2.314826968714418,-2.2531792723396933,2729.3505460284796,-6213.95654756198,97.37466946964214
-8.440612281096929,-0.21148548552154312,-0.19234360366549996,3.8867369303739707,2468.134081651202,-1973.8015859034658,8.016314996902532
-8.181255469127946,0.4763012995891809,-53.72370810404909,-9.27782967546549,1589.4855871257096,5539.671383987021,-3649.9099509701387
-10.091937367704375,0.9099838167037535,-267.5461981097931,-3.2920221937132155,3729.961807472835,11162.56987851255,-12987.954373871358
