variant,n_edges,n_self_loops,n_cross_variable,edges
baseline,17,6,11,temperature→temperature(lag=6); solar_generation→temperature(lag=1); temperature→wind_speed(lag=15); wind_speed→wind_speed(lag=6); price→wind_speed(lag=4); wind_generation→wind_speed(lag=30); solar_radiation→solar_radiation(lag=6); solar_generation→solar_radiation(lag=1); price→price(lag=4); price→load(lag=3); solar_generation→load(lag=2); wind_speed→wind_generation(lag=0); solar_radiation→wind_generation(lag=6); price→wind_generation(lag=6); wind_generation→wind_generation(lag=1); solar_generation→wind_generation(lag=3); solar_generation→solar_generation(lag=6)
soft_diag,16,5,11,temperature→temperature(lag=6); solar_radiation→temperature(lag=30); price→temperature(lag=3); solar_generation→temperature(lag=1); wind_speed→wind_speed(lag=1); price→wind_speed(lag=6); temperature→solar_radiation(lag=4); solar_generation→solar_radiation(lag=1); price→price(lag=4); temperature→load(lag=4); price→load(lag=3); wind_speed→wind_generation(lag=0); solar_radiation→wind_generation(lag=6); price→wind_generation(lag=6); wind_generation→wind_generation(lag=1); solar_generation→solar_generation(lag=6)
hard_diag,16,5,11,temperature→temperature(lag=6); price→temperature(lag=4); solar_generation→temperature(lag=1); wind_speed→wind_speed(lag=6); price→wind_speed(lag=6); temperature→solar_radiation(lag=4); price→solar_radiation(lag=3); solar_generation→solar_radiation(lag=1); price→price(lag=26); temperature→load(lag=7); wind_speed→wind_generation(lag=0); solar_radiation→wind_generation(lag=6); price→wind_generation(lag=6); wind_generation→wind_generation(lag=1); solar_generation→wind_generation(lag=30); solar_generation→solar_generation(lag=6)
